gens,average_placement,hands_won,mean_money,fitness
gen295,8.261000,5484,3377.596799,6.150000
gen296,8.184000,5282,3328.260512,6.150000
gen297,8.006000,5242,3474.121518,5.850000
gen298,8.240000,5287,3255.819076,6.300000
gen299,8.391000,5599,3301.983649,6.150000
gen300,8.312000,4812,3404.470811,5.850000
gen301,8.169000,5284,3446.849200,5.850000
gen302,8.228000,5081,3384.059968,5.850000
gen303,8.138000,5543,3378.100041,6.000000
gen304,8.338000,5381,3404.125938,6.150000
gen305,8.299000,5359,3316.303613,5.850000
gen306,8.551000,5035,3265.125583,6.450000
gen307,8.032000,5375,3417.104755,6.000000
gen308,8.368000,4357,3375.521865,6.150000
gen309,8.239000,5646,3344.380320,6.150000
gen310,8.035000,5578,3344.575474,6.000000
gen311,8.214000,5223,3526.263898,5.850000
gen312,8.096000,5426,3290.054334,6.450000
gen313,8.230000,5242,3357.550817,6.150000
gen314,8.436000,5250,3339.644277,6.300000
gen315,8.455000,5568,3265.154952,6.450000
gen316,8.441000,5914,3303.486519,6.150000
gen317,8.458000,5254,3281.029573,6.150000
gen318,8.084000,5566,3275.462396,6.450000
gen319,8.443000,5036,3348.143614,6.000000
gen320,8.018000,5679,3436.642985,5.850000
gen321,8.196000,4427,3485.225868,5.700000
gen322,8.363000,5045,3401.415385,6.000000
gen323,8.219000,5206,3239.685775,6.450000
gen324,8.627000,5693,3321.371734,6.300000
gen325,8.143000,5953,3412.528361,6.000000
gen326,8.075000,5309,3335.070159,6.150000
gen327,8.043000,5283,3417.323893,6.000000
gen328,8.076000,5259,3279.742726,6.300000
gen329,8.339000,5326,3275.903518,6.300000
gen330,8.118000,5290,3277.453320,6.150000
gen331,8.519000,5239,3373.580283,6.000000
gen332,8.000000,5048,3503.083634,5.850000
gen333,7.881000,5960,3440.153371,5.850000
gen334,8.005000,4620,3364.572941,5.850000
gen335,8.096000,4859,3458.021507,5.850000
gen336,7.869000,4977,3315.496452,6.150000
gen337,8.176000,4838,3494.413094,5.850000
gen338,8.414000,4756,3470.085978,5.850000
gen339,8.383000,4631,3244.786864,6.450000
gen340,8.128000,5163,3413.029494,6.000000
gen341,8.119000,5181,3429.569634,6.150000
gen342,8.051000,5540,3373.299264,6.000000
gen343,8.444000,5273,3368.376817,6.150000
gen344,8.023000,4626,3621.827782,5.700000
gen345,8.077000,4439,3381.793515,6.300000
gen346,8.133000,5400,3413.115570,6.150000
gen347,7.933000,5127,3439.155383,5.700000
gen348,8.118000,4858,3320.701414,6.150000
gen349,8.029000,5042,3459.806997,5.850000
gen350,8.122000,5355,3455.306767,5.850000
gen351,8.201000,5440,3436.189860,5.850000
gen352,7.775000,4783,3359.683472,6.000000
gen353,7.759000,4800,3419.835352,6.150000
gen354,7.663000,4626,3445.263232,5.850000
gen355,7.774000,5082,3545.839043,5.850000
gen356,7.976000,5131,3533.668176,6.150000
gen357,8.206000,4628,3489.537627,6.000000
gen358,7.985000,4836,3417.521361,6.000000
gen359,8.182000,4742,3346.637571,6.450000
gen360,8.349000,4932,3397.383950,6.000000
gen361,8.165000,5199,3443.787459,6.000000
gen362,8.127000,5471,3372.799202,5.850000
gen363,8.307000,5294,3397.713455,6.300000
gen364,8.553000,5087,3305.134775,6.450000
gen365,8.200000,5528,3275.934899,6.450000
gen366,7.734000,5056,3571.993681,5.700000
