gens,average_placement,hands_won,mean_money,fitness
gen315,2.913000,6730,1560.517120,1.400000
gen316,2.989000,7277,1484.870851,1.200000
gen317,2.831000,8074,1528.858166,1.200000
gen318,2.932000,6370,1544.079529,1.400000
gen319,2.904000,10056,1600.606054,1.200000
gen320,2.963000,5742,1460.892699,1.500000
gen321,2.925000,10943,1508.452046,1.200000
gen322,2.845000,9522,1529.029654,1.200000
gen323,2.935000,7628,1583.486351,1.200000
gen324,2.872000,9319,1539.295979,1.200000
gen325,2.896000,9233,1519.460549,1.200000
gen326,2.858000,9545,1529.769922,1.200000
gen327,2.872000,10652,1489.172678,1.200000
gen328,2.947000,7935,1584.188379,1.200000
gen329,2.886000,8996,1551.398936,1.200000
gen330,2.919000,8627,1519.981334,1.200000
gen331,2.808000,10494,1563.459428,1.200000
gen332,2.899000,6969,1525.564629,1.300000
gen333,2.845000,7269,1594.074349,1.200000
gen334,2.848000,8903,1571.905670,1.200000
gen335,2.875000,11604,1476.623887,1.200000
gen336,2.926000,10305,1534.113622,1.200000
gen337,2.843000,10931,1516.437121,1.200000
gen338,2.957000,10399,1431.875071,1.200000
gen339,2.887000,10057,1530.419885,1.200000
gen340,2.879000,9977,1491.703026,1.200000
gen341,3.027000,11862,1440.525909,1.200000
gen342,2.908000,9949,1485.433332,1.200000
gen343,2.899000,11399,1493.724015,1.200000
gen344,2.864000,11706,1462.067073,1.200000
gen345,2.845000,11083,1514.090886,1.200000
gen346,2.754000,11572,1556.585795,1.200000
gen347,2.764000,11989,1534.501824,1.200000
gen348,2.880000,10121,1564.084068,1.200000
gen349,2.914000,10922,1520.814814,1.200000
gen350,2.902000,11099,1514.431731,1.200000
gen351,2.740000,10383,1544.670831,1.200000
gen352,2.850000,11568,1522.584409,1.200000
gen353,2.817000,10564,1590.172384,1.200000
gen354,2.896000,11437,1491.954402,1.200000
gen355,2.878000,11511,1520.559580,1.200000
gen356,2.875000,11066,1456.079881,1.200000
gen357,2.935000,11984,1472.014112,1.200000
gen358,2.827000,11657,1461.335311,1.200000
gen359,2.853000,12110,1475.190924,1.200000
gen360,2.903000,11282,1473.631668,1.200000
gen361,2.873000,11265,1488.021095,1.200000
gen362,2.704000,13120,1489.879449,1.200000
gen363,2.941000,12880,1374.153282,1.200000
gen364,2.809000,12198,1502.635844,1.200000
gen365,2.957000,13400,1431.622925,1.200000
gen366,2.786000,11778,1473.159536,1.200000
gen367,2.835000,12622,1462.702959,1.200000
gen368,2.817000,11942,1460.678627,1.200000
gen369,2.984000,13122,1399.986546,1.400000
gen370,2.784000,12727,1474.785021,1.200000
gen371,2.794000,12428,1454.674156,1.200000
gen372,2.907000,11927,1425.227166,1.200000
gen373,2.795000,12629,1462.649384,1.200000
gen374,2.749000,12892,1425.086596,1.200000
gen375,2.787000,11743,1451.846584,1.200000
gen376,2.849000,12719,1413.353403,1.200000
gen377,2.838000,13061,1443.757689,1.200000
gen378,2.909000,12476,1455.781500,1.200000
gen379,2.934000,12994,1404.198681,1.200000
gen380,2.923000,12742,1398.107523,1.200000
gen381,2.956000,13060,1424.373341,1.200000
gen382,2.816000,12255,1441.179472,1.300000
gen383,2.845000,12807,1469.633396,1.200000
gen384,2.964000,13049,1429.018305,1.200000
gen385,2.861000,13580,1424.308878,1.200000
gen386,2.866000,12966,1423.080890,1.200000
gen387,2.859000,12947,1430.716205,1.200000
gen388,2.787000,12073,1486.293776,1.200000
gen389,2.904000,13763,1394.865418,1.300000
gen390,2.890000,13007,1452.017459,1.200000
gen391,2.892000,12801,1439.575310,1.200000
gen392,2.809000,12001,1449.812004,1.200000
gen393,2.778000,13028,1469.028805,1.200000
gen394,2.870000,13638,1423.600886,1.200000
gen395,2.734000,12842,1477.449383,1.200000
gen396,2.745000,12207,1472.146249,1.200000
gen397,2.736000,12720,1441.108033,1.200000
gen398,2.790000,11436,1461.730078,1.200000
gen399,2.893000,12686,1438.678388,1.200000
gen400,2.948000,12830,1390.485317,1.200000
gen401,2.935000,13605,1414.537222,1.200000
gen402,2.789000,12832,1486.863134,1.200000
gen403,2.886000,13109,1441.275312,1.200000
gen404,2.787000,12711,1432.824036,1.300000
gen405,2.773000,12945,1478.042826,1.200000
gen406,2.822000,11157,1499.043106,1.200000
gen407,2.845000,12437,1420.694143,1.200000
gen408,2.698000,12305,1509.752582,1.200000
gen409,2.693000,10040,1514.207565,1.200000
gen410,2.862000,10133,1505.133431,1.200000
gen411,2.827000,11975,1433.498996,1.200000
gen412,2.839000,12663,1423.627158,1.200000
gen413,2.875000,12294,1436.888219,1.200000
gen414,2.823000,12412,1464.361061,1.200000
gen415,2.774000,10749,1469.792392,1.200000
gen416,2.855000,12538,1447.622283,1.200000
gen417,2.747000,12247,1498.639112,1.200000
gen418,2.846000,11748,1464.322622,1.200000
gen419,2.815000,12787,1426.715307,1.200000
gen420,2.818000,12943,1455.308523,1.200000
gen421,2.833000,13076,1412.110018,1.200000
gen422,2.752000,12198,1456.597597,1.200000
gen423,2.780000,12562,1462.445150,1.200000
gen424,2.805000,11624,1495.877493,1.200000
gen425,2.859000,12466,1442.404586,1.200000
gen426,2.812000,11986,1414.882715,1.200000
gen427,2.798000,13681,1398.967069,1.200000
gen428,2.722000,11856,1483.015334,1.200000
gen429,2.715000,10422,1521.440758,1.200000
gen430,2.804000,11899,1491.256857,1.200000
gen431,2.912000,12148,1418.352231,1.200000
gen432,2.734000,9831,1532.551286,1.200000
gen433,2.851000,11070,1492.948518,1.200000
gen434,2.891000,11777,1413.939923,1.300000
gen435,2.960000,12271,1461.742352,1.200000
gen436,2.822000,12633,1450.782815,1.200000
gen437,2.820000,12067,1487.943619,1.200000
gen438,2.829000,12305,1464.100706,1.200000
gen439,2.913000,12895,1470.927943,1.200000
gen440,2.745000,12245,1444.275862,1.200000
gen441,2.847000,13270,1427.227686,1.200000
gen442,2.921000,12704,1426.684589,1.200000
gen443,2.797000,11127,1497.732300,1.200000
gen444,2.857000,12480,1447.046445,1.200000
gen445,2.935000,12459,1430.559579,1.200000
gen446,2.940000,12932,1401.982902,1.200000
gen447,2.987000,12689,1402.513198,1.300000
gen448,2.850000,12614,1435.677473,1.200000
gen449,2.752000,10800,1537.958590,1.200000
gen450,2.754000,12431,1484.527312,1.200000
gen451,2.775000,10480,1504.543073,1.200000
gen452,2.825000,12181,1462.518097,1.200000
gen453,2.769000,11118,1490.780863,1.200000
gen454,2.708000,12315,1509.740902,1.200000
gen455,2.754000,11107,1521.813849,1.200000
gen456,2.725000,11111,1543.185729,1.200000
gen457,2.858000,10185,1504.970086,1.200000
gen458,2.745000,9640,1559.473129,1.200000
gen459,2.772000,10724,1477.459117,1.200000
gen460,2.737000,11258,1477.295866,1.200000
gen461,2.727000,10345,1543.518826,1.200000
gen462,2.724000,11487,1440.765856,1.200000
gen463,2.806000,10284,1514.564999,1.200000
gen464,2.980000,12195,1381.779661,1.200000
gen465,3.000000,12410,1377.970695,1.200000
gen466,2.934000,12024,1447.738167,1.200000
gen467,2.832000,11142,1415.338455,1.200000
gen468,2.833000,10812,1434.198839,1.200000
gen469,2.951000,11072,1434.776836,1.200000
gen470,2.875000,11593,1436.828473,1.200000
gen471,2.816000,12448,1389.051929,1.200000
gen472,2.882000,11396,1463.168505,1.200000
gen473,2.850000,12042,1392.032203,1.300000
gen474,2.924000,12171,1408.054436,1.200000
gen475,2.908000,11297,1460.660585,1.200000
gen476,2.951000,11684,1440.922306,1.200000
gen477,2.838000,12311,1411.438567,1.200000
gen478,2.913000,11005,1447.190311,1.200000
gen479,2.901000,11596,1471.783117,1.200000
gen480,2.899000,11670,1390.458572,1.200000
gen481,2.833000,11257,1450.062404,1.200000
gen482,2.786000,10279,1482.314273,1.200000
gen483,2.855000,11067,1454.016905,1.200000
gen484,2.805000,11322,1436.289967,1.200000
gen485,2.916000,12221,1395.763338,1.200000
gen486,2.826000,11311,1460.727747,1.200000
gen487,2.948000,11692,1426.951139,1.200000
gen488,2.910000,11617,1476.187623,1.200000
gen489,2.951000,11651,1449.047407,1.200000
gen490,2.892000,12241,1420.051753,1.200000
gen491,2.923000,11650,1442.441415,1.200000
gen492,2.782000,10537,1455.433736,1.200000
gen493,2.886000,10050,1455.359319,1.200000
gen494,2.869000,11175,1456.317508,1.200000
gen495,2.841000,11260,1386.964942,1.200000
gen496,2.717000,10247,1520.053971,1.200000
gen497,2.824000,9782,1476.766678,1.200000
gen498,2.936000,12053,1439.340573,1.200000
gen499,2.835000,11294,1475.014650,1.200000
gen500,2.925000,10055,1480.403071,1.200000
gen501,2.885000,11722,1420.458315,1.200000
gen502,2.973000,12072,1446.418487,1.200000
gen503,2.961000,10423,1410.072902,1.200000
gen504,2.867000,11046,1457.624890,1.200000
gen505,2.986000,11231,1469.504623,1.200000
gen506,2.910000,11743,1438.575999,1.200000
gen507,2.997000,11079,1429.589328,1.200000
gen508,2.815000,12928,1459.131647,1.200000
gen509,2.848000,10252,1480.650347,1.200000
gen510,2.864000,10293,1483.455679,1.200000
gen511,2.920000,11873,1502.441808,1.200000
gen512,2.997000,11852,1463.896035,1.200000
gen513,2.816000,12297,1456.503675,1.200000
gen514,2.992000,11830,1461.822929,1.200000
gen515,2.846000,10030,1521.368734,1.200000
gen516,2.774000,10923,1536.010760,1.200000
gen517,2.859000,11650,1448.137114,1.200000
gen518,2.801000,11392,1483.026922,1.200000
gen519,2.762000,11574,1503.601300,1.200000
gen520,2.836000,10815,1503.061745,1.200000
gen521,2.908000,11786,1462.536938,1.200000
gen522,2.870000,12370,1426.285102,1.200000
gen523,2.923000,12176,1427.197560,1.200000
gen524,2.937000,11786,1450.388634,1.200000
gen525,2.794000,12546,1475.995350,1.200000
gen526,2.917000,12665,1444.675684,1.200000
gen527,2.943000,13125,1418.136654,1.200000
gen528,2.913000,12173,1467.379272,1.200000
gen529,3.107000,12171,1376.821355,1.300000
gen530,2.918000,12660,1454.628906,1.200000
gen531,2.856000,12260,1469.650677,1.200000
gen532,2.811000,12634,1443.477114,1.200000
gen533,2.974000,13490,1380.843510,1.300000
gen534,2.781000,11288,1512.589000,1.200000
gen535,2.723000,12022,1485.262739,1.200000
gen536,2.954000,12143,1443.185820,1.200000
gen537,2.915000,12142,1438.874741,1.200000
gen538,2.795000,12213,1490.245754,1.200000
gen539,2.737000,12239,1520.252571,1.200000
gen540,2.797000,11912,1504.629592,1.200000
gen541,2.681000,11081,1534.944123,1.200000
gen542,2.757000,11269,1518.531515,1.200000
gen543,2.909000,12963,1426.439604,1.200000
gen544,2.814000,11590,1514.011815,1.200000
gen545,2.854000,11974,1448.977859,1.200000
gen546,2.894000,11745,1464.112016,1.200000
gen547,2.866000,9759,1581.286963,1.200000
gen548,2.817000,9955,1646.828686,1.200000
gen549,2.819000,10845,1555.463428,1.200000
gen550,2.806000,10616,1525.786766,1.200000
gen551,2.742000,10528,1553.464070,1.200000
gen552,2.776000,10881,1569.844194,1.200000
gen553,2.858000,10996,1513.435538,1.200000
gen554,2.687000,11899,1536.995172,1.200000
gen555,2.699000,11121,1565.475355,1.200000
gen556,2.784000,10563,1538.994196,1.200000
gen557,2.710000,11683,1525.640687,1.200000
gen558,3.018000,12656,1456.731425,1.200000
gen559,2.738000,13081,1486.365622,1.200000
gen560,2.949000,12578,1463.411014,1.200000
gen561,2.804000,11301,1600.992100,1.200000
gen562,2.870000,12572,1478.342904,1.200000
gen563,2.840000,13299,1418.330880,1.200000
gen564,2.792000,11379,1530.568623,1.200000
gen565,2.775000,11659,1525.841155,1.200000
gen566,2.857000,11042,1518.328930,1.200000
gen567,2.733000,12560,1516.403441,1.200000
gen568,2.986000,11927,1438.455468,1.200000
gen569,3.090000,12059,1444.180636,1.200000
gen570,3.011000,12096,1436.797028,1.200000
gen571,3.066000,12135,1445.262556,1.200000
gen572,2.825000,11070,1496.665133,1.200000
gen573,2.918000,12813,1446.401045,1.200000
gen574,2.822000,11997,1504.621435,1.200000
gen575,2.840000,10808,1530.387066,1.200000
gen576,2.835000,10710,1576.049582,1.200000
gen577,2.776000,10736,1577.768437,1.200000
gen578,3.044000,10998,1571.531037,1.200000
gen579,2.862000,9521,1572.097866,1.200000
gen580,2.920000,11516,1501.701540,1.200000
gen581,2.834000,11705,1531.068726,1.200000
gen582,2.878000,11242,1488.646546,1.200000
gen583,2.873000,11347,1539.868480,1.200000
gen584,2.723000,9418,1625.458885,1.200000
gen585,2.797000,9897,1534.228309,1.200000
gen586,2.935000,10829,1528.830109,1.200000
gen587,2.819000,11053,1543.139470,1.200000
gen588,2.849000,11123,1546.497756,1.200000
gen589,2.835000,10981,1583.623484,1.200000
gen590,2.859000,10883,1562.414139,1.200000
gen591,2.917000,11073,1545.382129,1.200000
gen592,2.923000,10630,1524.690794,1.200000
gen593,2.833000,10928,1526.653620,1.200000
gen594,2.925000,10600,1550.741037,1.200000
gen595,2.862000,11375,1489.675075,1.200000
gen596,2.897000,10205,1472.697394,1.200000
gen597,2.821000,10413,1536.505037,1.200000
gen598,3.006000,10548,1538.588732,1.200000
gen599,2.795000,11195,1590.089839,1.200000
gen600,2.896000,10754,1578.410471,1.200000
gen601,2.854000,10185,1582.108586,1.200000
gen602,2.985000,11159,1491.797353,1.200000
gen603,2.867000,11963,1538.195860,1.200000
gen604,3.072000,10909,1500.654617,1.200000
